date,type,code,name,buyShares,buyPrice,sellShares,sellPrice,fee,tax,amount,cost,spend,income,note,person
2023/12/11,賣,2845,遠東銀,0,0,1000,12.50,20,38,12500,58,0,12443,,alex
2023/12/11,賣,2845,遠東銀,0,0,199,12.45,20,7,2478,27,0,2450,,alex
2023/12/11,賣,2888,新光金,0,0,524,8.71,20,14,4564,34,0,4530,,alex
2023/12/12,買,2468,華經,2000,31.65,0,0,54,0,63300,54,63354,0,,alex
2023/12/13,買,2468,華經,1000,30.85,0,0,26,0,30850,26,30876,0,,alex
2023/12/14,賣,2884,玉山金,0,0,1000,25.70,22,77,25700,99,0,25601,,alex
2023/12/14,賣,2888A,新光金甲特,0,0,10,29.00,20,1,290,21,0,269,,alex
2023/12/14,賣,2888B,新光金乙特,0,0,30,29.05,20,3,872,23,0,849,,alex
2023/12/20,賣,2353,宏碁,0,0,1000,42.15,36,126,42150,162,0,41988,,alex
2023/12/20,賣,2353,宏碁,0,0,1000,44.75,38,134,44750,173,0,44577,,alex
2023/12/20,買,00642U,元大S&P石油,6000,16.15,0,0,83,0,96900,83,96983,0,,alex
2023/12/28,買,2023,燁輝,2000,17.85,0,0,31,0,35700,31,35731,0,,alex
2023/12/28,賣,2353,宏碁,0,0,1000,55.00,47,165,55000,212,0,54788,,alex
2023/12/29,買,00642U,元大S&P石油,4000,15.65,0,0,54,0,62600,54,62654,0,,alex
2024/1/4,買,2353,宏碁,2000,49.30,0,0,84,0,98600,84,98684,0,,alex
2024/1/5,賣,2353,宏碁,0,0,5000,49.50,212,743,247500,954,0,246546,,alex
2024/1/15,買,2468,華經,1000,29.00,0,0,25,0,29000,25,29025,0,,alex
2024/1/18,買,2468,華經,1000,27.35,0,0,23,0,27350,23,27373,0,,alex
2024/1/18,買,9907,統一實,1000,15.25,0,0,20,0,15250,20,15270,0,,alex
2024/1/31,賣,5487,通泰,0,0,1000,31.35,27,94,31350,121,0,31229,,alex
2024/2/1,賣,5487,通泰,0,0,1000,34.45,29,103,34450,133,0,34317,,alex
2024/2/26,買,3691,碩禾,4000,109.50,0,0,374,0,438000,374,438374,0,,alex
2024/3/7,賣,5487,通泰,0,0,1000,34.20,29,103,34200,132,0,34068,,alex
2024/3/15,買,3691,碩禾,1000,115.00,0,0,98,0,115000,98,115098,0,,alex
2024/3/18,買,3691,碩禾,1000,112.00,0,0,96,0,112000,96,112096,0,,alex
2024/3/19,買,1504,東元,5000,54.90,0,0,235,0,274500,235,274735,0,,alex
2024/3/19,買,6798,展逸,1000,56.80,0,0,49,0,56800,49,56849,0,,alex
2024/3/20,賣,00642U,元大S&P石油,0,0,10000,18.21,156,546,182100,702,0,181398,,alex
2024/3/26,賣,1504,東元,0,0,1000,57.20,49,172,57200,221,0,56979,,alex
2024/3/26,賣,1504,東元,0,0,3000,55.50,142,500,166500,642,0,165858,,alex
2024/3/26,賣,3691,碩禾,0,0,1000,121.00,103,363,121000,466,0,120534,,alex
2024/3/28,賣,1504,東元,0,0,1000,57.50,49,173,57500,222,0,57278,,alex
2024/4/3,買,1802,台玻,4000,17.65,0,0,60,0,70600,60,70660,0,,alex
2024/4/9,賣,3691,碩禾,0,0,1000,125.00,107,375,125000,482,0,124518,,alex
2024/4/11,賣,3691,碩禾,0,0,1000,143.00,122,429,143000,551,0,142449,,alex
2024/4/16,買,1504,東元,2000,56.50,0,0,97,0,113000,97,113097,0,,alex
2024/4/17,賣,1504,東元,0,0,2000,59.30,101,356,118600,457,0,118143,,alex
2024/4/19,買,3691,碩禾,1000,146.50,0,0,125,0,146500,125,146625,0,,alex
2024/4/22,賣,3691,碩禾,0,0,1000,149.50,128,449,149500,576,0,148924,,alex
2024/4/23,買,3691,碩禾,1000,144.00,0,0,123,0,144000,123,144123,0,,alex
2024/4/23,買,8085,福華,1000,66.00,0,0,56,0,66000,56,66056,0,,alex
2024/4/24,賣,3691,碩禾,0,0,1000,151.00,129,453,151000,582,0,150418,,alex
2024/5/8,賣,8085,福華,0,0,1000,70.00,60,210,70000,270,0,69730,,alex
2024/5/10,買,1504,東元,2000,55.00,0,0,94,0,110000,94,110094,0,,alex
2024/5/13,買,3691,碩禾,1000,165.00,0,0,141,0,165000,141,165141,0,,alex
2024/5/21,買,1504,東元,1000,53.90,0,0,46,0,53900,46,53946,0,,alex
2024/5/27,買,8085,福華,1000,65.60,0,0,56,0,65600,56,65656,0,,alex
2024/5/30,賣,8085,福華,0,0,1000,69.90,60,210,69900,269,0,69631,,alex
2024/5/31,賣,5487,通泰,0,0,500,35.10,20,53,17550,73,0,17477,,alex
2024/5/31,賣,1504,東元,0,0,1000,55.90,48,168,55900,215,0,55685,,alex
2024/6/3,賣,1802,台玻,0,0,2000,19.00,32,114,38000,146,0,37854,,alex
2024/6/7,賣,1504,東元,0,0,2000,58.00,99,348,116000,447,0,115553,,alex
2024/6/7,賣,1802,台玻,0,0,2000,19.60,34,118,39200,151,0,39049,,alex
2024/6/12,買,3691,碩禾,1000,124.00,0,0,106,0,124000,106,124106,0,,alex
2024/6/17,買,1504,東元,2000,57.40,0,0,98,0,114800,98,114898,0,,alex
2024/6/18,買,1504,東元,2000,54.90,0,0,94,0,109800,94,109894,0,,alex
2024/6/18,賣,3691,碩禾,0,0,1000,132.00,113,396,132000,509,0,131491,,alex
2024/6/19,買,1504,東元,1000,53.30,0,0,46,0,53300,46,53346,0,,alex
2024/6/20,買,2353,宏碁,2000,47.95,0,0,82,0,95900,82,95982,0,,alex
2024/6/24,買,1504,東元,1000,53.00,0,0,45,0,53000,45,53045,0,,alex
2024/6/28,買,4571,鈞興-KY,1000,127.50,0,0,109,0,127500,109,127609,0,,alex
2024/7/1,買,4571,鈞興-KY,1000,125.00,0,0,107,0,125000,107,125107,0,,alex
2024/7/5,賣,4571,鈞興-KY,0,0,2000,131.00,224,786,262000,1010,0,260990,,alex
2024/7/5,買,8085,福華,2000,67.00,0,0,115,0,134000,115,134115,0,,alex
